Employee_ID,year_month,Annual_load_cost_per_month
57,2014-09,9786
57,2014-10,9786
57,2014-11,9786
57,2014-12,9786
57,2015-01,9786
57,2015-02,9786
57,2015-03,9786
57,2015-04,9786
57,2015-05,9786
57,2015-06,9786
57,2015-07,9786
57,2015-08,9786
57,2015-09,9786
57,2015-10,9786
57,2015-11,9786
57,2015-12,9786
57,2016-01,9786
57,2016-02,9786
57,2016-03,9786
57,2016-04,9786
57,2016-05,9786
57,2016-06,9786
57,2016-07,9786
57,2016-08,9786
57,2016-09,9786
57,2016-10,9786
57,2016-11,9786
57,2016-12,9786
57,2017-01,9786
57,2017-02,9786
57,2017-03,9786
57,2017-04,9786
57,2017-05,9786
57,2017-06,9786
57,2017-07,9786
57,2017-08,9786
57,2017-09,9786
57,2017-10,9786
57,2017-11,9786
57,2017-12,9786
57,2018-01,9786
57,2018-02,9786
57,2018-03,9786
57,2018-04,9786
57,2018-05,9786
57,2018-06,9786
57,2018-07,9786
57,2018-08,9786
57,2018-09,10065
57,2018-10,10065
57,2018-11,10065
57,2018-12,10065
57,2019-01,10065
57,2019-02,10065
57,2019-03,10065
57,2019-04,10065
57,2019-05,10065
57,2019-06,10065
57,2019-07,10065
57,2019-08,10065
57,2019-09,10065
57,2019-10,10065
57,2019-11,10065
57,2019-12,10065
57,2020-01,10065
57,2020-02,10065
57,2020-03,10065
57,2020-04,10065
57,2020-05,10065
57,2020-06,10065
57,2020-07,10065
57,2020-08,10065
57,2020-09,10065
57,2020-10,10065
57,2020-11,10065
57,2020-12,10065
57,2021-01,10065
57,2021-02,10065
57,2021-03,10065
57,2021-04,10065
57,2021-05,10065
57,2021-06,10065
57,2021-07,10065
57,2021-08,10065
57,2021-09,10065
57,2021-10,10065
57,2021-11,10065
57,2021-12,10065
57,2022-01,10065
57,2022-02,13612.93
57,2022-03,13612.93
57,2022-04,13612.93
57,2022-05,13612.93
57,2022-06,13612.93
57,2022-07,13612.93
57,2022-08,13612.93
57,2022-09,13612.93
57,2022-10,13612.93
57,2022-11,13612.93
57,2022-12,13612.93
57,2023-01,13612.93
57,2023-02,13612.93
57,2023-03,13612.93
57,2023-04,13612.93
57,2023-05,13612.93
57,2023-06,13612.93
57,2023-07,13612.93
57,2023-08,13612.93
57,2023-09,13612.93
57,2023-10,13612.93
57,2023-11,13612.93
57,2023-12,13612.93
57,2024-01,13612.93
57,2024-02,13612.93
57,2024-03,13612.93
57,2024-04,13612.93
57,2024-05,13612.93
57,2024-06,13612.93
57,2024-07,13612.93
57,2024-08,13612.93
57,2024-09,13612.93
57,2024-10,13612.93
57,2024-11,13612.93
57,2024-12,13612.93
57,2025-01,13612.93
57,2025-02,13612.93
57,2025-03,13612.93
57,2025-04,13612.93
57,2025-05,13612.93
57,2025-06,13612.93
58,2000-07,5427
58,2000-08,5427
58,2000-09,5427
58,2000-10,5427
58,2000-11,5427
58,2000-12,5427
58,2001-01,5427
58,2001-02,5427
58,2001-03,5427
58,2001-04,5427
58,2001-05,5427
58,2001-06,5427
58,2001-07,5427
58,2001-08,5427
58,2001-09,5427
58,2001-10,5427
58,2001-11,5427
58,2001-12,5427
58,2002-01,5427
58,2002-02,5427
58,2002-03,5427
58,2002-04,5427
58,2002-05,5427
58,2002-06,5427
58,2002-07,5427
58,2002-08,5427
58,2002-09,5427
58,2002-10,5427
58,2002-11,5427
58,2002-12,5427
58,2003-01,5427
58,2003-02,5427
58,2003-03,5427
58,2003-04,5427
58,2003-05,5427
58,2003-06,5427
58,2003-07,5427
58,2003-08,5427
58,2003-09,5427
58,2003-10,5427
58,2003-11,5427
58,2003-12,5427
58,2004-01,5427
58,2004-02,5427
58,2004-03,5427
58,2004-04,5427
58,2004-05,5427
58,2004-06,5427
58,2004-07,5427
58,2004-08,5427
58,2004-09,5427
58,2004-10,5427
58,2004-11,5427
58,2004-12,5427
58,2005-01,5427
58,2005-02,5427
58,2005-03,5427
58,2005-04,5427
58,2005-05,5427
58,2005-06,5427
58,2005-07,5427
58,2005-08,5427
58,2005-09,5427
58,2005-10,5427
58,2005-11,5427
58,2005-12,5427
58,2006-01,5427
58,2006-02,5427
58,2006-03,5427
58,2006-04,5427
58,2006-05,5427
58,2006-06,5427
58,2006-07,5427
58,2006-08,5427
58,2006-09,5427
58,2006-10,5427
58,2006-11,5427
58,2006-12,5427
58,2007-01,5427
58,2007-02,5427
58,2007-03,5427
58,2007-04,5427
58,2007-05,5427
58,2007-06,5427
58,2007-07,5427
58,2007-08,5427
58,2007-09,5427
58,2007-10,5427
58,2007-11,5427
58,2007-12,5427
58,2008-01,5427
58,2008-02,5427
58,2008-03,5427
58,2008-04,5427
58,2008-05,5427
58,2008-06,5427
58,2008-07,5427
58,2008-08,5427
58,2008-09,5427
58,2008-10,5427
58,2008-11,5427
58,2008-12,5427
58,2009-01,5427
58,2009-02,5427
58,2009-03,5427
58,2009-04,5427
58,2009-05,5427
58,2009-06,5427
58,2009-07,5427
58,2009-08,5427
58,2009-09,5427
58,2009-10,5427
58,2009-11,5427
58,2009-12,5427
58,2010-01,5427
58,2010-02,5427
58,2010-03,5427
58,2010-04,5427
58,2010-05,5427
58,2010-06,5427
58,2010-07,5427
58,2010-08,5427
58,2010-09,5427
58,2010-10,5427
58,2010-11,5427
58,2010-12,5427
58,2011-01,5427
58,2011-02,5427
58,2011-03,5427
58,2011-04,5427
58,2011-05,5427
58,2011-06,5427
58,2011-07,5427
58,2011-08,5427
58,2011-09,5427
58,2011-10,5427
58,2011-11,5427
58,2011-12,5427
58,2012-01,5427
58,2012-02,5427
58,2012-03,5427
58,2012-04,5427
58,2012-05,5427
58,2012-06,5427
58,2012-07,5427
58,2012-08,5427
58,2012-09,5427
58,2012-10,5427
58,2012-11,5427
58,2012-12,5427
58,2013-01,5427
58,2013-02,5427
58,2013-03,5427
58,2013-04,5427
58,2013-05,5427
58,2013-06,5427
58,2013-07,5427
58,2013-08,5427
58,2013-09,5427
58,2013-10,5427
58,2013-11,5427
58,2013-12,5427
58,2014-01,5427
58,2014-02,5427
58,2014-03,5427
58,2014-04,5427
58,2014-05,5427
58,2014-06,5427
58,2014-07,5427
58,2014-08,5427
58,2014-09,5427
58,2014-10,5427
58,2014-11,5427
58,2014-12,5427
58,2015-01,5427
58,2015-02,5427
58,2015-03,5427
58,2015-04,5427
58,2015-05,5427
58,2015-06,5427
58,2015-07,5427
58,2015-08,5427
58,2015-09,5427
58,2015-10,5427
58,2015-11,5427
58,2015-12,5427
58,2016-01,5427
58,2016-02,5427
58,2016-03,5427
58,2016-04,5427
58,2016-05,5427
58,2016-06,5427
58,2016-07,5427
58,2016-08,5427
58,2016-09,5427
58,2016-10,5427
58,2016-11,5427
58,2016-12,5427
58,2017-01,5427
58,2017-02,5427
58,2017-03,5427
58,2017-04,5427
58,2017-05,5427
58,2017-06,5427
58,2017-07,5427
58,2017-08,5427
58,2017-09,5427
58,2017-10,5427
58,2017-11,5427
58,2017-12,5427
58,2018-01,5427
58,2018-02,5427
58,2018-03,5427
58,2018-04,5427
58,2018-05,5427
58,2018-06,5427
58,2018-07,5427
58,2018-08,5427
58,2018-09,5427
58,2018-10,5427
58,2018-11,5427
58,2018-12,5427
58,2019-01,5427
58,2019-02,5427
58,2019-03,5427
58,2019-04,5427
58,2019-05,5427
58,2019-06,5427
58,2019-07,5427
58,2019-08,5427
58,2019-09,5427
58,2019-10,5427
58,2019-11,5427
58,2019-12,5427
58,2020-01,5427
58,2020-02,5427
58,2020-03,5427
58,2020-04,5427
58,2020-05,5427
58,2020-06,5427
58,2020-07,5427
58,2020-08,5427
58,2020-09,5427
58,2020-10,5427
58,2020-11,5427
58,2020-12,5445
58,2021-01,5445
58,2021-02,5445
58,2021-03,5445
58,2021-04,5445
58,2021-05,7743.84
58,2021-06,7743.84
58,2021-07,7743.84
58,2021-08,7743.84
58,2021-09,7743.84
58,2021-10,7743.84
58,2021-11,7743.84
58,2021-12,7743.84
58,2022-01,7743.84
58,2022-02,7743.84
58,2022-03,7743.84
58,2022-04,7743.84
58,2022-05,7743.84
58,2022-06,7743.84
58,2022-07,7743.84
58,2022-08,7743.84
58,2022-09,7743.84
58,2022-10,7743.84
58,2022-11,7743.84
58,2022-12,7743.84
58,2023-01,7743.84
58,2023-02,7743.84
58,2023-03,7743.84
58,2023-04,7743.84
58,2023-05,7743.84
58,2023-06,7743.84
58,2023-07,7743.84
58,2023-08,7743.84
58,2023-09,7743.84
58,2023-10,7743.84
58,2023-11,7743.84
58,2023-12,7743.84
58,2024-01,7743.84
58,2024-02,7743.84
58,2024-03,7743.84
58,2024-04,7743.84
58,2024-05,7743.84
58,2024-06,7743.84
58,2024-07,7743.84
58,2024-08,7743.84
58,2024-09,7743.84
58,2024-10,7743.84
58,2024-11,7743.84
58,2024-12,7743.84
58,2025-01,7743.84
58,2025-02,7743.84
58,2025-03,7743.84
58,2025-04,7743.84
58,2025-05,7743.84
58,2025-06,7743.84
59,2000-07,8380
59,2000-08,8380
59,2000-09,8380
59,2000-10,8380
59,2000-11,8380
59,2000-12,8380
59,2001-01,8380
59,2001-02,8380
59,2001-03,8380
59,2001-04,8380
59,2001-05,8380
59,2001-06,8380
59,2001-07,8380
59,2001-08,8380
59,2001-09,8380
59,2001-10,8380
59,2001-11,8380
59,2001-12,8380
59,2002-01,8380
59,2002-02,8380
59,2002-03,8380
59,2002-04,8380
59,2002-05,8380
59,2002-06,8380
59,2002-07,8380
59,2002-08,8380
59,2002-09,8380
59,2002-10,8380
59,2002-11,8380
59,2002-12,8380
59,2003-01,8380
59,2003-02,8380
59,2003-03,8380
59,2003-04,8380
59,2003-05,8380
59,2003-06,8380
59,2003-07,8380
59,2003-08,8380
59,2003-09,8380
59,2003-10,8380
59,2003-11,8380
59,2003-12,8380
59,2004-01,8465
59,2004-02,8465
59,2004-03,8465
59,2004-04,8465
59,2004-05,8465
59,2004-06,8465
59,2004-07,8465
59,2004-08,8465
59,2004-09,8465
59,2004-10,8465
59,2004-11,8465
59,2004-12,8465
59,2005-01,8465
59,2005-02,8465
59,2005-03,8465
59,2005-04,8465
59,2005-05,8465
59,2005-06,8465
59,2005-07,8465
59,2005-08,8465
59,2005-09,8465
59,2005-10,8465
59,2005-11,8465
59,2005-12,8465
59,2006-01,8465
59,2006-02,8465
59,2006-03,8465
59,2006-04,8465
59,2006-05,8465
59,2006-06,8465
59,2006-07,8465
59,2006-08,8465
59,2006-09,8465
59,2006-10,8465
59,2006-11,8465
59,2006-12,8465
59,2007-01,8465
59,2007-02,8465
59,2007-03,8465
59,2007-04,8465
59,2007-05,8465
59,2007-06,8465
59,2007-07,8465
59,2007-08,8465
59,2007-09,8465
59,2007-10,8465
59,2007-11,8465
59,2007-12,8465
59,2008-01,8465
59,2008-02,8465
59,2008-03,8465
59,2008-04,8465
59,2008-05,8465
59,2008-06,8465
59,2008-07,8465
59,2008-08,8465
59,2008-09,8465
59,2008-10,8465
59,2008-11,8465
59,2008-12,8465
59,2009-01,8465
59,2009-02,8465
59,2009-03,8465
59,2009-04,8465
59,2009-05,8465
59,2009-06,8465
59,2009-07,8465
59,2009-08,8465
59,2009-09,8465
59,2009-10,8465
59,2009-11,8465
59,2009-12,8465
59,2010-01,8465
59,2010-02,8465
59,2010-03,8465
59,2010-04,8465
59,2010-05,8465
59,2010-06,8465
59,2010-07,8465
59,2010-08,8465
59,2010-09,8465
59,2010-10,8465
59,2010-11,8465
59,2010-12,8465
59,2011-01,8465
59,2011-02,8465
59,2011-03,8465
59,2011-04,8465
59,2011-05,8465
59,2011-06,8465
59,2011-07,8465
59,2011-08,8465
59,2011-09,8465
59,2011-10,8465
59,2011-11,8465
59,2011-12,8465
59,2012-01,8465
59,2012-02,8814
59,2012-03,8814
59,2012-04,8814
59,2012-05,8814
59,2012-06,8814
59,2012-07,8814
59,2012-08,8814
59,2012-09,8814
59,2012-10,8814
59,2012-11,8814
59,2012-12,8814
59,2013-01,8814
59,2013-02,8814
59,2013-03,8814
59,2013-04,8814
59,2013-05,8814
59,2013-06,8814
59,2013-07,8814
59,2013-08,8814
59,2013-09,8814
59,2013-10,8814
59,2013-11,8814
59,2013-12,8814
59,2014-01,8814
59,2014-02,8814
59,2014-03,8814
59,2014-04,9083
59,2014-05,9083
59,2014-06,9083
59,2014-07,9083
59,2014-08,9083
59,2014-09,9083
59,2014-10,9083
59,2014-11,9083
59,2014-12,9083
59,2015-01,9083
59,2015-02,9083
59,2015-03,9173
59,2015-04,9173
59,2015-05,9173
59,2015-06,9173
59,2015-07,9173
59,2015-08,9173
59,2015-09,9173
59,2015-10,9173
59,2015-11,9173
59,2015-12,9173
59,2016-01,9173
59,2016-02,9173
59,2016-03,9173
59,2016-04,9173
59,2016-05,9173
59,2016-06,9173
59,2016-07,9173
59,2016-08,9173
59,2016-09,9173
59,2016-10,9173
59,2016-11,9173
59,2016-12,9173
59,2017-01,9173
59,2017-02,9173
59,2017-03,9173
59,2017-04,9173
59,2017-05,9173
59,2017-06,9173
59,2017-07,9173
59,2017-08,9173
59,2017-09,9173
59,2017-10,9173
59,2017-11,9173
59,2017-12,9173
59,2018-01,9173
59,2018-02,9173
59,2018-03,9173
59,2018-04,9173
59,2018-05,9173
59,2018-06,9173
59,2018-07,9173
59,2018-08,9173
59,2018-09,9173
59,2018-10,9173
59,2018-11,9173
59,2018-12,9173
59,2019-01,9173
59,2019-02,9173
59,2019-03,9173
59,2019-04,9173
59,2019-05,9173
59,2019-06,9173
59,2019-07,9173
59,2019-08,9173
59,2019-09,9173
59,2019-10,9173
59,2019-11,9173
59,2019-12,9173
59,2020-01,9173
59,2020-02,9173
59,2020-03,9173
59,2020-04,9173
59,2020-05,9173
59,2020-06,9173
59,2020-07,9173
59,2020-08,9173
59,2020-09,9173
59,2020-10,9173
59,2020-11,9173
59,2020-12,9173
59,2021-01,9173
59,2021-02,9173
59,2021-03,9173
59,2021-04,9173
59,2021-05,9173
59,2021-06,9173
59,2021-07,9173
59,2021-08,9173
59,2021-09,9173
59,2021-10,9173
59,2021-11,9173
59,2021-12,9173
59,2022-01,9173
59,2022-02,9173
59,2022-03,9173
59,2022-04,9173
59,2022-05,9173
59,2022-06,9173
59,2022-07,9173
59,2022-08,9173
59,2022-09,9173
59,2022-10,9173
59,2022-11,9823
59,2022-12,9823
59,2023-01,9823
59,2023-02,13340.13
59,2023-03,13340.13
59,2023-04,13340.13
59,2023-05,13340.13
59,2023-06,13340.13
59,2023-07,13340.13
59,2023-08,13340.13
59,2023-09,13340.13
59,2023-10,13340.13
59,2023-11,13340.13
59,2023-12,13340.13
59,2024-01,13340.13
59,2024-02,13340.13
59,2024-03,13340.13
59,2024-04,13340.13
59,2024-05,13340.13
59,2024-06,13340.13
59,2024-07,13340.13
59,2024-08,13340.13
59,2024-09,13340.13
59,2024-10,13340.13
59,2024-11,13340.13
59,2024-12,13340.13
59,2025-01,13340.13
59,2025-02,13340.13
59,2025-03,13340.13
59,2025-04,13340.13
59,2025-05,13340.13
59,2025-06,13340.13
60,2000-07,5899
60,2000-08,5899
60,2000-09,5899
60,2000-10,5899
60,2000-11,5899
60,2000-12,5899
60,2001-01,5899
60,2001-02,5899
60,2001-03,5899
60,2001-04,5899
60,2001-05,5899
60,2001-06,5899
60,2001-07,5899
60,2001-08,5899
60,2001-09,5899
60,2001-10,5899
60,2001-11,5899
60,2001-12,5899
60,2002-01,5899
60,2002-02,5899
60,2002-03,5899
60,2002-04,5899
60,2002-05,5899
60,2002-06,5899
60,2002-07,5899
60,2002-08,5899
60,2002-09,5899
60,2002-10,5899
60,2002-11,5899
60,2002-12,5899
60,2003-01,5899
60,2003-02,5899
60,2003-03,5899
60,2003-04,5899
60,2003-05,5899
60,2003-06,5899
60,2003-07,5899
60,2003-08,5899
60,2003-09,5899
60,2003-10,5899
60,2003-11,5899
60,2003-12,5899
60,2004-01,5899
60,2004-02,5899
60,2004-03,5899
60,2004-04,5899
60,2004-05,5899
60,2004-06,5899
60,2004-07,5899
60,2004-08,5899
60,2004-09,5899
60,2004-10,5899
60,2004-11,5899
60,2004-12,5899
60,2005-01,5899
60,2005-02,5899
60,2005-03,5899
60,2005-04,5899
60,2005-05,5899
60,2005-06,5899
60,2005-07,5899
60,2005-08,5899
60,2005-09,5899
60,2005-10,5899
60,2005-11,5899
60,2005-12,5899
60,2006-01,5899
60,2006-02,5899
60,2006-03,5899
60,2006-04,5899
60,2006-05,5899
60,2006-06,5899
60,2006-07,5899
60,2006-08,5899
60,2006-09,5899
60,2006-10,5899
60,2006-11,5899
60,2006-12,5899
60,2007-01,5899
60,2007-02,5899
60,2007-03,5899
60,2007-04,5899
60,2007-05,5899
60,2007-06,5899
60,2007-07,5899
60,2007-08,5899
60,2007-09,5899
60,2007-10,5899
60,2007-11,5899
60,2007-12,5899
60,2008-01,5899
60,2008-02,5899
60,2008-03,5899
60,2008-04,5899
60,2008-05,5899
60,2008-06,5899
60,2008-07,5899
60,2008-08,5899
60,2008-09,5899
60,2008-10,5899
60,2008-11,5899
60,2008-12,5899
60,2009-01,5899
60,2009-02,5899
60,2009-03,5899
60,2009-04,6007
60,2009-05,6007
60,2009-06,6007
60,2009-07,6007
60,2009-08,6007
60,2009-09,6007
60,2009-10,6007
60,2009-11,6007
60,2009-12,6007
60,2010-01,6007
60,2010-02,6007
60,2010-03,6007
60,2010-04,6007
60,2010-05,6007
60,2010-06,6007
60,2010-07,6007
60,2010-08,6007
60,2010-09,6007
60,2010-10,6007
60,2010-11,6007
60,2010-12,6007
60,2011-01,6007
60,2011-02,6007
60,2011-03,6007
60,2011-04,6007
60,2011-05,6007
60,2011-06,6007
60,2011-07,6007
60,2011-08,6007
60,2011-09,8814.61
60,2011-10,8814.61
60,2011-11,8814.61
60,2011-12,8814.61
60,2012-01,8814.61
60,2012-02,8814.61
60,2012-03,8814.61
60,2012-04,8814.61
60,2012-05,8814.61
60,2012-06,8814.61
60,2012-07,8814.61
60,2012-08,8814.61
60,2012-09,8814.61
60,2012-10,8814.61
60,2012-11,8814.61
60,2012-12,8814.61
60,2013-01,8814.61
60,2013-02,8814.61
60,2013-03,8814.61
60,2013-04,8814.61
60,2013-05,8814.61
60,2013-06,8814.61
60,2013-07,8814.61
60,2013-08,8814.61
60,2013-09,8814.61
60,2013-10,8814.61
60,2013-11,8814.61
60,2013-12,8814.61
60,2014-01,8814.61
60,2014-02,8814.61
60,2014-03,8814.61
60,2014-04,8814.61
60,2014-05,8814.61
60,2014-06,8814.61
60,2014-07,8814.61
60,2014-08,8814.61
60,2014-09,8814.61
60,2014-10,8814.61
60,2014-11,8814.61
60,2014-12,8814.61
60,2015-01,8814.61
60,2015-02,8814.61
60,2015-03,8814.61
60,2015-04,8814.61
60,2015-05,8814.61
60,2015-06,8814.61
60,2015-07,8814.61
60,2015-08,8814.61
60,2015-09,8814.61
60,2015-10,8814.61
60,2015-11,8814.61
60,2015-12,8814.61
60,2016-01,8814.61
60,2016-02,8814.61
60,2016-03,8814.61
60,2016-04,8814.61
60,2016-05,8814.61
60,2016-06,8814.61
60,2016-07,8814.61
60,2016-08,8814.61
60,2016-09,8814.61
60,2016-10,8814.61
60,2016-11,8814.61
60,2016-12,8814.61
60,2017-01,8814.61
60,2017-02,8814.61
60,2017-03,8814.61
60,2017-04,8814.61
60,2017-05,8814.61
60,2017-06,8814.61
60,2017-07,8814.61
60,2017-08,8814.61
60,2017-09,8814.61
60,2017-10,8814.61
60,2017-11,8814.61
60,2017-12,8814.61
60,2018-01,8814.61
60,2018-02,8814.61
60,2018-03,8814.61
60,2018-04,8814.61
60,2018-05,8814.61
60,2018-06,8814.61
60,2018-07,8814.61
60,2018-08,8814.61
60,2018-09,8814.61
60,2018-10,8814.61
60,2018-11,8814.61
60,2018-12,8814.61
60,2019-01,8814.61
60,2019-02,8814.61
60,2019-03,8814.61
60,2019-04,8814.61
60,2019-05,8814.61
60,2019-06,8814.61
60,2019-07,8814.61
60,2019-08,8814.61
60,2019-09,8814.61
60,2019-10,8814.61
60,2019-11,8814.61
60,2019-12,8814.61
60,2020-01,8814.61
60,2020-02,8814.61
60,2020-03,8814.61
60,2020-04,8814.61
60,2020-05,8814.61
60,2020-06,8814.61
60,2020-07,8814.61
60,2020-08,8814.61
60,2020-09,8814.61
60,2020-10,8814.61
60,2020-11,8814.61
60,2020-12,8814.61
60,2021-01,8814.61
60,2021-02,8814.61
60,2021-03,8814.61
60,2021-04,8814.61
60,2021-05,8814.61
60,2021-06,8814.61
60,2021-07,8814.61
60,2021-08,8814.61
60,2021-09,8814.61
60,2021-10,8814.61
60,2021-11,8814.61
60,2021-12,8814.61
60,2022-01,8814.61
60,2022-02,8814.61
60,2022-03,8814.61
60,2022-04,8814.61
60,2022-05,8814.61
60,2022-06,8814.61
60,2022-07,8814.61
60,2022-08,8814.61
60,2022-09,8814.61
60,2022-10,8814.61
60,2022-11,8814.61
60,2022-12,8814.61
60,2023-01,8814.61
60,2023-02,8814.61
60,2023-03,8814.61
60,2023-04,8814.61
60,2023-05,8814.61
60,2023-06,8814.61
60,2023-07,8814.61
60,2023-08,8814.61
60,2023-09,8814.61
60,2023-10,8814.61
60,2023-11,8814.61
60,2023-12,8814.61
60,2024-01,8814.61
60,2024-02,8814.61
60,2024-03,8814.61
60,2024-04,8814.61
60,2024-05,8814.61
60,2024-06,8814.61
60,2024-07,8814.61
60,2024-08,8814.61
60,2024-09,8814.61
60,2024-10,8814.61
60,2024-11,8814.61
60,2024-12,8814.61
60,2025-01,8814.61
60,2025-02,8814.61
60,2025-03,8814.61
60,2025-04,8814.61
60,2025-05,8814.61
60,2025-06,8814.61
61,2000-07,23853
61,2000-08,23853
61,2000-09,23853
61,2000-10,23853
61,2000-11,23853
61,2000-12,23853
61,2001-01,23853
61,2001-02,23853
61,2001-03,23853
61,2001-04,23853
61,2001-05,23853
61,2001-06,23853
61,2001-07,23853
61,2001-08,23853
61,2001-09,23853
61,2001-10,23853
61,2001-11,23853
61,2001-12,23853
61,2002-01,23853
61,2002-02,23853
61,2002-03,23853
61,2002-04,23853
61,2002-05,23853
61,2002-06,23853
61,2002-07,23853
61,2002-08,23853
61,2002-09,24205
61,2002-10,24205
61,2002-11,24205
61,2002-12,24205
61,2003-01,24205
61,2003-02,24205
61,2003-03,24205
61,2003-04,24205
61,2003-05,24205
61,2003-06,24205
61,2003-07,24205
61,2003-08,24205
61,2003-09,24205
61,2003-10,24205
61,2003-11,24205
61,2003-12,24205
61,2004-01,24205
61,2004-02,24205
61,2004-03,24205
61,2004-04,24205
61,2004-05,24205
61,2004-06,24205
61,2004-07,24205
61,2004-08,24205
61,2004-09,24205
61,2004-10,24205
61,2004-11,24205
61,2004-12,24205
61,2005-01,24205
61,2005-02,24205
61,2005-03,24205
61,2005-04,24205
61,2005-05,24205
61,2005-06,24205
61,2005-07,24205
61,2005-08,24205
61,2005-09,24205
61,2005-10,24205
61,2005-11,24205
61,2005-12,24205
61,2006-01,24205
61,2006-02,24205
61,2006-03,24205
61,2006-04,24205
61,2006-05,24205
61,2006-06,24205
61,2006-07,24205
61,2006-08,24205
61,2006-09,24205
61,2006-10,24205
61,2006-11,24205
61,2006-12,24205
61,2007-01,24205
61,2007-02,24205
61,2007-03,24205
61,2007-04,24205
61,2007-05,24205
61,2007-06,24205
61,2007-07,24205
61,2007-08,24205
61,2007-09,24205
61,2007-10,24205
61,2007-11,24205
61,2007-12,24205
61,2008-01,24205
61,2008-02,24205
61,2008-03,24205
61,2008-04,24205
61,2008-05,24205
61,2008-06,24205
61,2008-07,24205
61,2008-08,24205
61,2008-09,24205
61,2008-10,24205
61,2008-11,24205
61,2008-12,24205
61,2009-01,24205
61,2009-02,24205
61,2009-03,24205
61,2009-04,24205
61,2009-05,24205
61,2009-06,24205
61,2009-07,24205
61,2009-08,24205
61,2009-09,24205
61,2009-10,24205
61,2009-11,24205
61,2009-12,24205
61,2010-01,24205
61,2010-02,24205
61,2010-03,24205
61,2010-04,24205
61,2010-05,24205
61,2010-06,24205
61,2010-07,24205
61,2010-08,24205
61,2010-09,24205
61,2010-10,24205
61,2010-11,24205
61,2010-12,24205
61,2011-01,24205
61,2011-02,24205
61,2011-03,24205
61,2011-04,24205
61,2011-05,24205
61,2011-06,24205
61,2011-07,24205
61,2011-08,24205
61,2011-09,24205
61,2011-10,24205
61,2011-11,24205
61,2011-12,24205
